               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056226,            0.022295,             0.01911,             0.71564,                   1,             0.84056,             0.43958,            0.028636,           0.0078148,           0.0030872,            0.070102,            0.003322,            0.003322
                   1,            0.040006,            0.012846,           0.0057134,             0.84789,             0.91667,              0.9087,             0.69077,            0.024593,           0.0058054,           0.0013417,            0.039882,           0.0064357,           0.0064357
                   2,            0.033897,            0.010869,           0.0046508,             0.92827,             0.95833,             0.98929,             0.68453,            0.022799,           0.0051744,          0.00094256,           0.0094428,           0.0093294,           0.0093294
                   3,            0.028166,           0.0094987,           0.0037745,             0.98769,                   1,               0.995,             0.78788,            0.015326,           0.0043012,           0.0006752,             0.00901,             0.00901,             0.00901
                   4,            0.023687,            0.008616,           0.0033132,             0.97653,                   1,               0.995,             0.88968,            0.007733,           0.0038277,          0.00067479,             0.00901,             0.00901,             0.00901
                   5,            0.020702,           0.0079278,           0.0032209,             0.95398,                   1,             0.98538,             0.88778,           0.0082928,           0.0033655,          0.00075353,             0.00868,             0.00868,             0.00868
                   6,             0.01896,           0.0077616,           0.0028403,              0.9753,                   1,               0.995,              0.9383,           0.0055353,           0.0030762,          0.00065816,             0.00835,             0.00835,             0.00835
                   7,            0.017589,           0.0073858,           0.0026741,             0.98655,                   1,               0.995,             0.90586,           0.0078249,           0.0030337,          0.00052303,             0.00802,             0.00802,             0.00802
                   8,            0.016731,           0.0071519,            0.002652,             0.98572,                   1,               0.995,             0.91079,           0.0082855,           0.0030328,          0.00037348,             0.00769,             0.00769,             0.00769
                   9,            0.015598,           0.0068703,           0.0023513,             0.98562,                   1,               0.995,              0.9016,           0.0055692,           0.0027661,          0.00037618,             0.00736,             0.00736,             0.00736
                  10,            0.014987,           0.0067179,           0.0023464,             0.97663,                   1,               0.995,             0.97606,           0.0049552,           0.0022446,          0.00038458,             0.00703,             0.00703,             0.00703
                  11,            0.014017,           0.0063496,           0.0021877,             0.96302,                   1,               0.995,             0.88231,           0.0048128,           0.0023479,          0.00034966,              0.0067,              0.0067,              0.0067
                  12,            0.012942,           0.0060476,           0.0020173,             0.98195,                   1,               0.995,             0.95506,              0.0043,           0.0022243,             0.00026,             0.00637,             0.00637,             0.00637
                  13,            0.012543,           0.0059045,           0.0019741,             0.98477,                   1,               0.995,             0.93719,           0.0049562,            0.002101,          0.00025388,             0.00604,             0.00604,             0.00604
                  14,            0.012008,           0.0057217,           0.0017982,             0.97997,                   1,               0.995,              0.9628,           0.0046767,           0.0022685,          0.00028669,             0.00571,             0.00571,             0.00571
                  15,            0.011494,            0.005711,           0.0015781,             0.98628,                   1,               0.995,             0.95277,           0.0038142,           0.0020323,          0.00018633,             0.00538,             0.00538,             0.00538
                  16,            0.010956,            0.005486,           0.0018362,             0.98435,                   1,               0.995,             0.95467,           0.0036252,           0.0020519,          0.00020291,             0.00505,             0.00505,             0.00505
                  17,            0.010533,           0.0054963,           0.0018483,             0.97195,                   1,               0.995,             0.94816,           0.0040618,           0.0021601,          0.00025512,             0.00472,             0.00472,             0.00472
                  18,            0.010163,           0.0052508,           0.0016433,             0.97602,                   1,               0.995,              0.9622,           0.0038352,           0.0020181,          0.00016403,             0.00439,             0.00439,             0.00439
                  19,           0.0095673,             0.00517,           0.0016029,              0.9823,                   1,               0.995,             0.97115,           0.0033914,           0.0018659,          0.00015724,             0.00406,             0.00406,             0.00406
                  20,           0.0091645,           0.0049806,           0.0014342,             0.97003,                   1,               0.995,             0.97371,           0.0032916,           0.0018086,          0.00014469,             0.00373,             0.00373,             0.00373
                  21,           0.0090564,           0.0048107,           0.0015977,              0.9722,                   1,               0.995,             0.97835,           0.0031177,           0.0018704,          0.00012841,              0.0034,              0.0034,              0.0034
                  22,           0.0084321,           0.0047573,           0.0015696,              0.9687,                   1,               0.995,             0.98591,           0.0032473,           0.0017505,          9.5333e-05,             0.00307,             0.00307,             0.00307
                  23,           0.0082165,           0.0046929,           0.0013883,             0.98015,                   1,               0.995,             0.98591,           0.0031631,           0.0018175,          0.00013496,             0.00274,             0.00274,             0.00274
                  24,            0.007918,           0.0045669,           0.0012576,             0.98538,                   1,               0.995,             0.98591,           0.0029242,           0.0016742,          0.00010385,             0.00241,             0.00241,             0.00241
                  25,            0.007504,           0.0042677,           0.0011931,             0.97886,                   1,               0.995,               0.995,           0.0028074,           0.0016667,          8.1111e-05,             0.00208,             0.00208,             0.00208
                  26,           0.0073083,           0.0043167,           0.0012316,             0.98655,                   1,               0.995,             0.98595,           0.0029856,           0.0017199,          6.3016e-05,             0.00175,             0.00175,             0.00175
                  27,           0.0070303,           0.0040677,           0.0012103,             0.98722,                   1,               0.995,             0.98595,           0.0027528,           0.0016061,          5.5744e-05,             0.00142,             0.00142,             0.00142
                  28,           0.0067102,           0.0041422,           0.0011457,             0.98846,                   1,               0.995,               0.986,           0.0027893,           0.0016392,          4.4042e-05,             0.00109,             0.00109,             0.00109
                  29,           0.0065304,           0.0040251,           0.0010707,             0.98821,                   1,               0.995,               0.986,           0.0027453,           0.0016953,          3.3237e-05,             0.00076,             0.00076,             0.00076
