               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089454,            0.025114,                   0,             0.28354,             0.33578,             0.18478,             0.10886,             0.05925,            0.027321,                   0,             0.07033,           0.0032967,           0.0032967
                   1,            0.061723,            0.018844,                   0,             0.53877,             0.48827,             0.45969,              0.2286,            0.048463,            0.021466,                   0,            0.040111,           0.0064112,           0.0064112
                   2,            0.053821,            0.017008,                   0,             0.45761,             0.54692,             0.39761,             0.24395,            0.039659,            0.020173,                   0,           0.0096721,           0.0093058,           0.0093058
                   3,             0.05147,            0.015382,                   0,             0.61991,             0.55003,             0.53155,             0.35821,            0.034004,            0.019044,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.044974,            0.015455,                   0,             0.60761,             0.50859,             0.45101,             0.32185,            0.030637,            0.019167,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.042345,            0.014143,                   0,             0.56465,             0.53079,             0.51527,             0.37987,            0.030296,            0.022481,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.040731,            0.014099,                   0,             0.58562,             0.53666,              0.5131,             0.39962,            0.031352,            0.017606,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.038686,            0.013483,                   0,             0.69374,             0.53808,             0.56847,             0.42487,            0.028167,            0.019172,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.036843,             0.01388,                   0,             0.68747,             0.52573,              0.5603,              0.4277,             0.02801,            0.028501,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.035004,             0.01404,                   0,               0.624,             0.57038,             0.55973,             0.44999,            0.024979,            0.020341,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.034474,            0.013039,                   0,             0.66617,             0.56012,             0.56907,             0.44879,            0.026542,            0.023586,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.034365,            0.013012,                   0,             0.66139,             0.55847,             0.56802,               0.465,            0.028754,            0.020074,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.032987,            0.013018,                   0,             0.71844,             0.56598,             0.60029,             0.48906,            0.026173,            0.025162,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.032509,            0.012345,                   0,             0.69889,             0.56834,             0.57588,              0.4848,            0.024612,            0.037268,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.031582,            0.012977,                   0,             0.70604,             0.57403,             0.58909,             0.48219,            0.029015,            0.022859,                   0,             0.00571,             0.00571,             0.00571
                  15,             0.03084,            0.012117,                   0,             0.68637,              0.5744,             0.60227,              0.4881,            0.023186,            0.023846,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.029003,            0.012111,                   0,             0.68885,             0.57038,             0.59457,             0.49086,            0.024104,            0.023943,                   0,             0.00505,             0.00505,             0.00505
                  17,             0.02947,            0.011917,                   0,             0.69282,             0.59091,             0.60607,             0.50824,            0.021835,            0.019916,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.028282,             0.01134,                   0,              0.6548,             0.57185,             0.58502,             0.48902,            0.022395,            0.032585,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.027741,            0.012182,                   0,             0.63485,             0.58651,              0.5778,             0.48716,            0.021488,            0.027233,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.027422,            0.011362,                   0,             0.69005,             0.54106,             0.60083,             0.51554,            0.020578,            0.028919,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.026329,            0.011579,                   0,             0.66861,             0.58065,             0.60225,             0.51406,            0.021105,            0.019491,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.025943,            0.010947,                   0,             0.68544,             0.58651,             0.63156,             0.53886,            0.018814,            0.028119,                   0,             0.00307,             0.00307,             0.00307
                  23,             0.02553,            0.010931,                   0,               0.702,             0.57625,             0.62655,             0.53766,            0.022245,              0.0278,                   0,             0.00274,             0.00274,             0.00274
                  24,             0.02519,            0.011001,                   0,             0.70775,             0.58945,             0.64072,              0.5553,            0.017312,            0.022329,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.023888,            0.010812,                   0,             0.68303,             0.60264,             0.62342,             0.54001,            0.018369,            0.019477,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.022836,            0.010485,                   0,             0.70602,             0.60264,             0.63007,             0.54666,            0.020542,            0.024074,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.022803,            0.010247,                   0,             0.75739,             0.56598,             0.63492,             0.54672,            0.018371,            0.027646,                   0,             0.00142,             0.00142,             0.00142
                  28,             0.02282,            0.010412,                   0,             0.70247,             0.57918,             0.63572,             0.54911,            0.017952,             0.02673,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.022495,            0.010147,                   0,             0.68183,              0.6085,             0.62772,             0.54529,            0.017984,            0.024883,                   0,             0.00076,             0.00076,             0.00076
