               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082133,             0.07289,            0.054249,             0.67978,            0.079018,            0.071769,            0.041284,            0.064733,            0.062322,            0.034552,            0.070144,           0.0033174,           0.0033174
                   1,            0.062704,            0.063661,            0.027668,             0.76149,            0.097968,            0.089599,            0.055729,            0.057197,             0.06223,            0.023313,            0.039321,           0.0058277,           0.0058277
                   2,            0.058688,            0.061658,            0.018814,             0.71103,             0.20843,             0.20029,             0.11825,            0.057568,            0.066118,            0.023229,           0.0076725,            0.007513,            0.007513
                   3,            0.053049,            0.060527,            0.014864,             0.71214,             0.24519,             0.26449,             0.13743,            0.053461,            0.066036,            0.017579,           0.0062875,           0.0062875,           0.0062875
                   4,            0.049368,            0.059321,            0.012784,             0.59217,             0.25868,             0.27312,             0.15861,            0.051801,            0.065981,             0.01867,           0.0062875,           0.0062875,           0.0062875
                   5,            0.046106,            0.058314,             0.01119,             0.56378,             0.32218,             0.32714,             0.20044,            0.048674,            0.065874,            0.019586,             0.00505,             0.00505,             0.00505
                   6,            0.043238,            0.056265,            0.009877,             0.57528,             0.38113,             0.37402,             0.22955,            0.047196,             0.06681,            0.016255,           0.0038125,           0.0038125,           0.0038125
                   7,            0.040753,            0.055112,           0.0088102,             0.58948,             0.37482,             0.40039,              0.2588,            0.046739,            0.068078,            0.016072,            0.002575,            0.002575,            0.002575
