               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073554,            0.042775,            0.020525,             0.57674,             0.51382,             0.43532,             0.21838,             0.04584,            0.023453,            0.012422,             0.07033,           0.0032967,           0.0032967
                   1,            0.051831,            0.031714,           0.0099482,             0.49529,             0.70158,             0.59099,             0.28208,            0.048554,            0.019414,           0.0043575,            0.040111,           0.0064112,           0.0064112
                   2,            0.046726,            0.029425,           0.0049353,             0.56678,             0.71139,             0.60954,             0.33754,            0.041304,            0.023535,           0.0049885,           0.0096721,           0.0093058,           0.0093058
                   3,            0.038791,            0.026917,           0.0043436,             0.75272,             0.76252,             0.81599,             0.53694,            0.029058,            0.017869,           0.0029236,             0.00901,             0.00901,             0.00901
                   4,            0.034271,            0.026294,           0.0031752,             0.83929,             0.85484,             0.90973,             0.66569,            0.024011,            0.017274,           0.0016007,             0.00901,             0.00901,             0.00901
                   5,            0.030677,            0.026041,           0.0027571,             0.88381,             0.86153,             0.92183,             0.69523,            0.024323,            0.016574,           0.0017765,             0.00868,             0.00868,             0.00868
                   6,             0.02873,            0.025633,           0.0025671,              0.8715,             0.86037,              0.9246,             0.71882,             0.02173,            0.017199,             0.00178,             0.00835,             0.00835,             0.00835
                   7,            0.027237,            0.023949,           0.0026526,             0.84858,             0.86367,             0.91922,             0.70981,            0.022295,            0.016913,           0.0013562,             0.00802,             0.00802,             0.00802
                   8,            0.026108,            0.023761,           0.0024953,              0.8067,             0.90637,             0.92119,             0.72493,            0.021712,            0.016369,            0.001278,             0.00769,             0.00769,             0.00769
                   9,            0.025946,            0.024625,            0.002083,              0.8712,             0.84165,             0.92721,             0.72251,            0.021638,            0.016548,           0.0015662,             0.00736,             0.00736,             0.00736
                  10,             0.02489,            0.022944,           0.0017588,              0.8481,             0.88123,             0.92908,              0.7443,             0.01981,             0.01654,           0.0012435,             0.00703,             0.00703,             0.00703
                  11,            0.023693,            0.023071,           0.0014209,             0.88299,             0.89501,             0.94302,             0.76578,            0.021531,            0.015577,           0.0012399,              0.0067,              0.0067,              0.0067
                  12,            0.023529,            0.022682,           0.0013754,             0.84988,             0.89225,             0.93217,             0.76769,            0.017932,            0.015856,           0.0010675,             0.00637,             0.00637,             0.00637
                  13,            0.022274,            0.022095,           0.0013661,             0.87667,             0.88735,             0.94094,             0.77961,            0.018131,            0.015334,          0.00070558,             0.00604,             0.00604,             0.00604
                  14,            0.021571,            0.021323,           0.0012948,             0.84742,             0.84124,             0.92033,              0.7787,            0.017164,            0.016941,           0.0015224,             0.00571,             0.00571,             0.00571
                  15,            0.020517,            0.020985,           0.0013282,             0.87024,             0.91316,             0.94334,             0.80541,            0.016216,            0.015019,          0.00091059,             0.00538,             0.00538,             0.00538
                  16,            0.020452,            0.021175,           0.0010768,             0.86616,              0.9071,             0.94128,             0.79628,            0.017248,            0.015141,           0.0012753,             0.00505,             0.00505,             0.00505
                  17,            0.019461,            0.019524,           0.0012062,             0.84568,             0.89621,             0.93631,             0.78998,            0.016645,            0.016732,          0.00092561,             0.00472,             0.00472,             0.00472
                  18,            0.019754,            0.021178,           0.0010278,             0.87192,               0.893,              0.9318,             0.78777,            0.016263,            0.015713,           0.0013183,             0.00439,             0.00439,             0.00439
                  19,             0.01836,             0.01935,           0.0010481,             0.87239,             0.91204,              0.9408,             0.80119,            0.016197,            0.015077,          0.00091173,             0.00406,             0.00406,             0.00406
                  20,            0.018157,            0.020021,          0.00079244,             0.88012,             0.91336,             0.94237,             0.82684,            0.015061,            0.015013,           0.0011243,             0.00373,             0.00373,             0.00373
                  21,            0.017684,            0.018565,          0.00083398,             0.88388,             0.91643,             0.94841,             0.82401,            0.015115,            0.014329,          0.00053696,              0.0034,              0.0034,              0.0034
                  22,            0.017682,            0.018902,          0.00063171,              0.8888,             0.88863,             0.94395,             0.82689,            0.014816,             0.01494,           0.0010788,             0.00307,             0.00307,             0.00307
                  23,            0.017007,            0.018091,          0.00069333,             0.87248,             0.90579,             0.94297,             0.82781,            0.015036,            0.015197,          0.00044855,             0.00274,             0.00274,             0.00274
                  24,            0.016778,            0.018606,          0.00095007,               0.865,             0.92362,             0.94502,             0.83594,            0.014464,            0.014723,           0.0003774,             0.00241,             0.00241,             0.00241
                  25,            0.016278,            0.017786,          0.00065236,             0.88987,             0.91124,             0.94675,             0.83929,            0.014515,            0.014769,          0.00043812,             0.00208,             0.00208,             0.00208
                  26,            0.015934,            0.017439,          0.00056373,             0.88667,             0.90268,             0.94891,             0.84336,            0.014267,             0.01471,           0.0010699,             0.00175,             0.00175,             0.00175
                  27,            0.015622,            0.017047,          0.00041734,             0.89367,             0.89927,             0.95223,             0.85034,            0.014084,            0.014521,          0.00091067,             0.00142,             0.00142,             0.00142
                  28,            0.014621,            0.016732,          0.00058201,             0.88829,             0.91032,             0.95141,             0.85001,            0.013942,            0.014933,          0.00070661,             0.00109,             0.00109,             0.00109
                  29,            0.014586,            0.015998,          0.00042483,             0.89026,             0.90846,             0.95248,             0.85194,            0.013921,            0.014353,           0.0010101,             0.00076,             0.00076,             0.00076
