               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10711,            0.034034,            0.039978,           0.0027713,             0.23202,             0.01779,           0.0044109,            0.059199,            0.016546,            0.024756,              0.0829,              0.0019,              0.0019
                   1,             0.07903,            0.032414,            0.032243,             0.34785,             0.22638,             0.22293,            0.080878,            0.044666,            0.013123,            0.023296,            0.064643,           0.0036426,           0.0036426
                   2,            0.063206,            0.026193,            0.029422,             0.21039,             0.36004,             0.21451,             0.12371,             0.04289,            0.010605,            0.020487,            0.046121,           0.0051212,           0.0051212
                   3,            0.058012,            0.023636,            0.027543,             0.68765,             0.47859,              0.5062,             0.28607,            0.036595,           0.0080732,            0.016299,            0.027336,           0.0063358,           0.0063358
                   4,            0.056502,            0.022139,            0.020933,             0.41904,             0.69212,             0.60712,             0.41298,            0.037845,           0.0063977,            0.013105,           0.0082864,           0.0072864,           0.0072864
                   5,            0.054458,            0.019152,            0.019733,             0.49236,              0.6864,               0.666,             0.38926,            0.033517,           0.0060123,            0.011572,              0.0067,              0.0067,              0.0067
                   6,            0.050896,            0.019408,            0.018927,             0.47778,             0.75007,             0.64891,             0.40663,            0.034718,           0.0055865,            0.010837,              0.0067,              0.0067,              0.0067
                   7,            0.047266,            0.018574,            0.017811,             0.43891,             0.80951,             0.60442,             0.35771,            0.035361,           0.0061081,            0.010757,             0.00604,             0.00604,             0.00604
                   8,              0.0438,            0.014743,            0.013511,             0.62001,             0.72835,             0.75598,             0.49227,            0.027083,           0.0059016,            0.011009,             0.00538,             0.00538,             0.00538
                   9,            0.037911,            0.016663,             0.01304,             0.62297,             0.72735,             0.74032,              0.5261,             0.02354,           0.0056409,            0.011119,             0.00472,             0.00472,             0.00472
                  10,            0.036787,            0.013915,            0.011911,             0.71141,             0.67569,             0.77034,             0.59393,            0.024342,           0.0054243,           0.0098339,             0.00406,             0.00406,             0.00406
                  11,            0.036147,            0.013845,             0.01356,             0.69597,             0.69299,             0.75923,             0.56192,            0.024127,           0.0052391,           0.0099072,              0.0034,              0.0034,              0.0034
                  12,            0.034136,            0.014446,            0.012426,             0.85356,             0.61183,             0.78727,             0.64426,            0.022702,           0.0046652,            0.010994,             0.00274,             0.00274,             0.00274
                  13,             0.03187,            0.015071,            0.009995,             0.74689,              0.7506,             0.81273,             0.65323,            0.020062,            0.004384,            0.010201,             0.00208,             0.00208,             0.00208
                  14,            0.027741,            0.015272,            0.010705,             0.71688,             0.79926,             0.82857,             0.68714,            0.020302,            0.004246,           0.0089191,             0.00142,             0.00142,             0.00142
