               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078663,            0.030533,                   0,            0.014517,                0.03,           0.0026466,          0.00095005,            0.036256,            0.020735,                   0,              0.0892,              0.0012,              0.0012
                   1,            0.072596,            0.028736,                   0,             0.42677,               0.075,            0.065328,            0.024695,            0.024787,            0.016759,                   0,            0.077451,           0.0024505,           0.0024505
                   2,            0.052993,            0.025503,                   0,              0.4538,                0.23,             0.19248,            0.088236,            0.017726,            0.013831,                   0,             0.06565,           0.0036495,           0.0036495
                   3,            0.047351,            0.021114,                   0,             0.63965,             0.38165,             0.36097,             0.20704,            0.015085,            0.012276,                   0,            0.053797,           0.0047971,           0.0047971
                   4,            0.039063,            0.019053,                   0,             0.47193,               0.525,             0.40771,              0.1808,            0.025132,           0.0097712,                   0,            0.041893,           0.0058931,           0.0058931
                   5,            0.041338,            0.017493,                   0,             0.51732,                0.77,              0.6639,             0.31869,            0.025274,           0.0068724,                   0,            0.029938,           0.0069377,           0.0069377
                   6,            0.041518,            0.017867,                   0,             0.60152,             0.76232,             0.76555,             0.46538,            0.024841,           0.0067227,                   0,            0.017931,           0.0079308,           0.0079308
                   7,            0.036911,            0.018349,                   0,             0.56563,             0.65761,             0.64172,             0.25806,            0.025637,           0.0075244,                   0,            0.008614,            0.008614,            0.008614
                   8,            0.037982,            0.016998,                   0,             0.76078,             0.82688,             0.82492,             0.38518,            0.023535,           0.0059145,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.036206,            0.017601,                   0,             0.63802,               0.775,             0.60799,             0.32025,            0.016783,           0.0080514,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.032645,            0.015074,                   0,             0.53348,               0.815,             0.63261,             0.34218,            0.019892,            0.005217,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.035003,            0.016296,                   0,             0.54313,               0.785,             0.60574,             0.33819,            0.015251,           0.0056623,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.030447,             0.01547,                   0,             0.74399,               0.725,             0.72366,             0.38966,            0.013317,            0.005199,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.027393,            0.013663,                   0,               0.854,                 0.9,             0.88893,             0.56625,            0.017142,           0.0046335,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.026275,            0.014672,                   0,             0.88683,                0.91,             0.88125,             0.56911,            0.011802,           0.0046662,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.028424,            0.014147,                   0,              0.8661,             0.90555,             0.90352,             0.47623,            0.013991,           0.0045832,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.029562,             0.01453,                   0,             0.84258,             0.93669,              0.8888,             0.51081,            0.013424,           0.0045513,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.025102,            0.014103,                   0,             0.84198,               0.915,             0.86617,             0.57319,            0.013815,            0.004695,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.026467,            0.015033,                   0,             0.84374,               0.955,             0.88253,             0.61148,            0.012434,           0.0043133,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.027506,            0.014114,                   0,             0.85855,             0.94083,             0.89685,             0.62374,            0.009278,            0.004361,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.022246,            0.013462,                   0,             0.89225,             0.95225,             0.91658,             0.64356,           0.0097655,           0.0040492,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.029038,            0.014332,                   0,             0.88261,               0.975,             0.92097,             0.65399,           0.0096928,           0.0040815,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.022321,            0.014635,                   0,             0.89525,                0.97,             0.92958,              0.6475,            0.010138,           0.0040387,                   0,            0.005842,            0.005842,            0.005842
                  23,             0.02505,            0.013777,                   0,               0.903,               0.975,             0.94693,             0.65717,            0.010202,           0.0040544,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.018915,            0.013538,                   0,             0.89429,             0.97286,             0.93423,             0.58374,            0.010537,           0.0039458,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.026172,            0.013589,                   0,             0.90761,             0.98243,             0.93101,             0.60108,            0.010517,           0.0037749,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.019562,            0.012657,                   0,             0.91378,               0.975,             0.92402,             0.65041,           0.0085488,           0.0037572,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.022245,            0.012834,                   0,             0.92015,             0.97944,             0.92252,             0.68681,            0.008335,           0.0036484,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.018878,             0.01256,                   0,             0.90389,             0.98754,             0.94237,              0.7101,           0.0082473,           0.0036596,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.022988,            0.012693,                   0,             0.91981,                0.98,             0.94632,             0.70115,           0.0082218,           0.0035234,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.020545,            0.012356,                   0,             0.92033,             0.98186,             0.95509,             0.70453,           0.0084855,           0.0034187,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.021517,            0.011317,                   0,             0.91943,               0.985,             0.94509,             0.73086,           0.0076726,           0.0034263,                   0,             0.00406,             0.00406,             0.00406
                  32,             0.01732,            0.012262,                   0,              0.9125,                0.99,             0.93664,             0.73691,            0.007349,           0.0034978,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.024617,            0.011552,                   0,             0.90706,                0.99,              0.9456,             0.73644,           0.0071154,           0.0034885,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.015437,            0.011795,                   0,             0.90753,                0.99,             0.94479,             0.70679,           0.0076464,           0.0034388,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.023951,            0.012404,                   0,             0.91196,             0.98409,             0.94606,             0.73477,           0.0073479,           0.0034181,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.022883,            0.012713,                   0,             0.91091,                0.99,              0.9522,             0.71804,           0.0075728,           0.0033994,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.018236,            0.011811,                   0,             0.91244,               0.995,             0.96225,             0.75629,           0.0071513,           0.0033583,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.016631,             0.01212,                   0,             0.92451,                0.99,             0.96208,              0.7686,           0.0070396,           0.0033454,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.018665,            0.011825,                   0,             0.90957,               0.985,             0.96215,             0.73746,           0.0070312,           0.0033083,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.017031,            0.011765,                   0,             0.90692,               0.985,              0.9623,             0.76498,           0.0068771,           0.0032585,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.017741,            0.012239,                   0,             0.91594,                0.98,             0.96788,              0.7798,           0.0067276,           0.0032808,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.014881,            0.011808,                   0,             0.92887,             0.97936,             0.96904,             0.75884,            0.006906,            0.003291,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.021985,            0.011974,                   0,             0.92886,             0.97927,             0.96772,             0.77992,           0.0068401,           0.0032811,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.019174,            0.012125,                   0,             0.92534,                0.98,             0.96831,             0.78505,           0.0069824,           0.0032301,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.016519,            0.012409,                   0,             0.92504,               0.985,             0.96831,             0.78901,           0.0067674,           0.0031782,                   0,            0.001288,            0.001288,            0.001288
