               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086029,            0.028369,            0.036744,                   0,                   0,                   0,                   0,            0.045491,            0.021666,            0.025459,              0.0919,              0.0009,              0.0009
                   1,             0.08177,            0.028605,            0.037899,           0.0052908,             0.25117,             0.13237,            0.031002,             0.03598,            0.018484,            0.019753,            0.082825,           0.0018248,           0.0018248
                   2,            0.074479,            0.030708,            0.039761,           0.0073429,             0.28963,             0.08239,            0.036457,            0.036267,            0.016033,            0.015382,             0.07367,           0.0026703,           0.0026703
                   3,            0.058588,            0.026385,            0.031548,             0.56063,             0.13462,            0.072945,            0.034178,            0.044086,            0.013282,            0.016076,            0.064437,           0.0034367,           0.0034367
                   4,            0.057385,            0.023518,            0.031727,             0.89282,             0.20192,             0.26696,             0.13045,            0.035628,            0.012017,             0.01463,            0.055124,           0.0041238,           0.0041238
                   5,             0.04351,             0.01971,            0.025591,             0.87894,             0.20192,             0.23571,            0.083107,            0.032068,            0.010483,            0.015753,            0.045732,           0.0047318,           0.0047318
                   6,            0.050487,            0.018603,            0.029686,             0.62067,             0.43266,              0.3545,             0.21852,            0.032865,           0.0091845,            0.015523,            0.036261,           0.0052606,           0.0052606
                   7,            0.039182,            0.018886,            0.023867,             0.60073,             0.36364,             0.28708,             0.13107,            0.023394,           0.0084973,            0.014234,             0.02671,           0.0057101,           0.0057101
                   8,            0.045985,            0.018629,            0.026673,             0.72079,             0.38636,             0.36889,              0.2003,            0.030449,           0.0075334,            0.012757,             0.01708,           0.0060805,           0.0060805
                   9,            0.044223,            0.017706,            0.027088,             0.67789,             0.37675,              0.2896,             0.10618,            0.028635,           0.0073971,            0.010986,           0.0073716,           0.0063716,           0.0063716
                  10,             0.04688,            0.018495,            0.030491,             0.82532,             0.42068,             0.52995,             0.33476,            0.026863,           0.0073724,           0.0097457,             0.00604,             0.00604,             0.00604
                  11,            0.039808,            0.016908,            0.024664,             0.83385,             0.47727,             0.53963,             0.35463,            0.024529,            0.006783,           0.0085581,             0.00604,             0.00604,             0.00604
                  12,            0.043018,            0.017235,            0.024013,             0.78914,             0.47727,               0.499,             0.30771,            0.034386,           0.0068693,           0.0087359,            0.005644,            0.005644,            0.005644
                  13,             0.04312,            0.017728,            0.024297,             0.90909,             0.45455,             0.53157,             0.31494,            0.021636,           0.0063239,           0.0083718,            0.005248,            0.005248,            0.005248
                  14,            0.040442,            0.014391,            0.020377,             0.85835,                 0.5,             0.49567,             0.32941,            0.021123,           0.0059628,           0.0077775,            0.004852,            0.004852,            0.004852
                  15,            0.036947,            0.015431,            0.022232,              0.6399,             0.58333,             0.63708,             0.44303,            0.021817,           0.0062457,           0.0069268,            0.004456,            0.004456,            0.004456
                  16,            0.034821,            0.016553,            0.021444,              0.6341,                0.75,             0.69923,             0.28997,            0.023416,           0.0064722,           0.0063703,             0.00406,             0.00406,             0.00406
                  17,            0.038535,            0.015094,            0.020891,              0.9081,             0.40612,             0.66209,             0.37609,            0.017776,           0.0058721,           0.0056466,            0.003664,            0.003664,            0.003664
                  18,            0.032195,            0.015665,            0.022021,             0.57895,             0.66422,             0.76208,             0.50273,            0.018186,           0.0056676,           0.0052573,            0.003268,            0.003268,            0.003268
                  19,            0.034185,             0.01318,            0.017541,               0.572,                0.75,             0.75873,             0.52694,            0.015063,            0.005476,           0.0045802,            0.002872,            0.002872,            0.002872
                  20,              0.0339,            0.014172,            0.014173,             0.52937,                0.75,             0.75721,             0.47693,            0.018774,           0.0054455,            0.004262,            0.002476,            0.002476,            0.002476
                  21,             0.02385,            0.012169,            0.013674,             0.61446,                0.85,             0.80887,             0.52031,             0.01975,           0.0054795,           0.0038463,             0.00208,             0.00208,             0.00208
                  22,            0.029742,            0.014501,            0.015713,             0.65416,             0.88254,             0.82324,             0.54936,            0.018229,           0.0054079,           0.0036752,            0.001684,            0.001684,            0.001684
                  23,            0.028909,            0.014628,            0.017645,             0.66258,                 0.9,             0.88161,             0.55551,            0.015879,           0.0051687,           0.0034819,            0.001288,            0.001288,            0.001288
                  24,            0.031638,            0.014317,            0.015612,             0.69141,             0.92852,             0.90046,             0.57343,            0.016207,           0.0051066,           0.0033807,            0.000892,            0.000892,            0.000892
