               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080769,            0.069726,            0.052744,             0.78768,              0.1216,             0.12743,            0.068479,             0.07179,            0.040154,            0.035182,            0.070128,           0.0033191,           0.0033191
                   1,            0.062278,            0.057669,            0.025695,             0.73218,             0.15357,             0.12894,            0.082601,            0.064514,            0.040752,            0.024614,            0.039469,           0.0059939,           0.0059939
                   2,            0.057988,            0.057766,            0.017774,             0.75327,             0.18773,             0.20693,             0.12744,            0.059812,            0.040884,            0.018385,           0.0081505,           0.0080086,           0.0080086
                   3,            0.052443,            0.057313,            0.014163,             0.68131,             0.26087,             0.27335,             0.14617,             0.05841,            0.042251,            0.016736,             0.00703,             0.00703,             0.00703
                   4,            0.048971,            0.055198,            0.012692,             0.66384,             0.26028,             0.28398,             0.16207,             0.05595,            0.043297,            0.015727,             0.00703,             0.00703,             0.00703
                   5,            0.045878,            0.053631,            0.010758,             0.49295,             0.29764,             0.29575,             0.17417,             0.05118,            0.044299,            0.016258,             0.00604,             0.00604,             0.00604
                   6,            0.043905,            0.053832,           0.0094071,             0.66392,             0.27174,             0.31808,             0.19877,            0.049303,            0.042431,            0.014917,             0.00505,             0.00505,             0.00505
                   7,            0.041798,            0.051911,           0.0085148,             0.62047,             0.32657,             0.35193,             0.20936,            0.049986,            0.043084,            0.015145,             0.00406,             0.00406,             0.00406
                   8,            0.040061,            0.050067,           0.0073486,             0.56212,             0.33362,             0.35612,             0.22333,            0.045435,             0.04449,            0.014436,             0.00307,             0.00307,             0.00307
                   9,            0.038479,            0.049305,           0.0067713,             0.63438,             0.35227,             0.37894,             0.23864,            0.045916,            0.045065,            0.014389,             0.00208,             0.00208,             0.00208
